Source: https://drive.google.com/uc?export=download&id=1TiSYurF2yw3wkt0mCc5zenBscBGlIKPj

---

﻿,,,,,,,,,,,,,,,,
,,Process,Wood, WWTS ,Forklift operations,Operations in plant,Refrigeration & A/C,Refrigeration & A/C,Refrigeration & A/C,CO2 cylinder / tanks,,,,,,
,,Unit,ton, cubic metres ,ton,litres,kg,kg,kg,kg,kg,kWh,,,,
,,,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1, RCN- đầu vào sản xuất , Output- đầu ra sản xuất ,,
MIX,Plant,Date,Firewood, Waste Water ,LPG,Diesel,R134A,R410A,R404A,Co2 @ Packing,Co2 @ PCCC,Electricity , Production (MTs) , CK ,,
07-21Tuticorin,Tuticorin,Jul/21,91.00,2204.33,0.23,3494.58,,,,1019.25,,344168.58," 1,320 "," 339,081 ",,
08-21Tuticorin,Tuticorin,Aug/21,91.00,2204.33,0.23,3494.58,,,,1019.25,,344168.58," 1,320 "," 339,081 ",,
09-21Tuticorin,Tuticorin,Sep/21,91.00,2204.33,0.23,3494.58,,,,1019.25,,344168.58," 1,320 "," 339,081 ",,
10-21Tuticorin,Tuticorin,Oct/21,91.00,2204.33,0.23,3494.58,,,,1019.25,,344168.58," 1,320 "," 339,081 ",,
11-21Tuticorin,Tuticorin,Nov/21,91.00,2204.33,0.23,3494.58,,,,1019.25,,344168.58," 1,320 "," 339,081 ",,
12-21Tuticorin,Tuticorin,Dec/21,91.00,2204.33,0.23,3494.58,,,,1019.25,,344168.58," 1,320 "," 339,081 ",,
01-22Tuticorin,Tuticorin,Jan/22,189.00,1565.00,,3934.00,,,,832.00,,338080.00," 1,913 "," 487,147 ",,

02-22Tuticorin,Tuticorin,Feb/22,189.00,1565.00,,3934.00,,,,832.00,,338080.00," 1,913 "," 487,147 ",,
03-22Tuticorin,Tuticorin,Mar/22,189.00,1565.00,,3934.00,,,,832.00,,338080.00," 1,913 "," 487,147 ",,
04-22Tuticorin,Tuticorin,Apr/22,189.00,1565.00,,3934.00,,,,832.00,,338080.00," 1,913 "," 487,147 ",,
05-22Tuticorin,Tuticorin,May/22,189.00,1565.00,,3934.00,,,,832.00,,338080.00," 1,913 "," 487,147 ",,
06-22Tuticorin,Tuticorin,Jun/22,189.00,1565.00,,3934.00,,,,832.00,,338080.00," 1,913 "," 487,147 ",,
07-22Tuticorin,Tuticorin,Jul/22,189.00,1565.00,,3934.00,,,,832.00,,338080.00," 1,913 "," 487,147 ",,
08-22Tuticorin,Tuticorin,Aug/22,189.00,1565.00,,3934.00,,,,832.00,,338080.00," 1,913 "," 487,147 ",,
09-22Tuticorin,Tuticorin,Sep/22,189.00,1565.00,,3934.00,,,,832.00,,338080.00," 1,913 "," 487,147 ",,
10-22Tuticorin,Tuticorin,Oct/22,189.00,1565.00,,3934.00,,,,832.00,,338080.00," 1,913 "," 487,147 ",,
11-22Tuticorin,Tuticorin,Nov/22,189.00,1565.00,,3934.00,,,,832.00,,338080.00," 1,913 "," 487,147 ",,
12-22Tuticorin,Tuticorin,Dec/22,189.00,1565.00,,3934.00,,,,832.00,,338080.00," 1,913 "," 487,147 ",,
01-23Tuticorin,Tuticorin,Jan/23,173.19,1420.00,0.00,1114.00,0.00,0.00,0.00,570.00,0.00,350128.00," 1,718 "," 414,577 ",,
02-23Tuticorin,Tuticorin,Feb/23,184.52,1369.00,0.00,2549.00,0.00,0.00,0.00,825.00,0.00,389088.00," 2,100 "," 504,061 ",,
03-23Tuticorin,Tuticorin,Mar/23,209.93,1460.00,0.00,1232.00,0.00,0.00,0.00,915.00,0.00,484112.00," 2,181 "," 552,297 ",,
04-23Tuticorin,Tuticorin,Apr/23,179.56,1432.00,0.00,1415.00,0.00,0.00,0.00,812.00,0.00,348288.00," 1,609 "," 429,974 ",,
05-23Tuticorin,Tuticorin,May/23,189.21,1475.00,0.00,3165.00,0.00,0.00,0.00,1494.00,0.00,409760.00," 1,840 "," 474,788 ",,
06-23Tuticorin,Tuticorin,Jun/23,175.76,1425.00,0.00,2897.00,0.00,0.00,0.00,1494.00,0.00,401408.00," 1,809 "," 499,560 ",,
07-23Tuticorin,Tuticorin,Jul/23,187.40,1449.00,0.00,7291.00,0.00,0.00,0.00,924.00,0.00,395680.00," 1,968 "," 531,519 ",,
08-23Tuticorin,Tuticorin,Aug/23,172.31,1420.00,0.00,6535.00,0.00,0.00,0.00,930.00,0.00,410048.00," 1,872 "," 508,765 ",,
09-23Tuticorin,Tuticorin,Sep/23,153.00,989.00,0.00,4460.00,0.00,0.00,0.00,544.00,0.00,400464.00," 1,628 "," 451,509 ",,
10-23Tuticorin,Tuticorin,Oct/23,167.00,1070.00,0.00,3178.00,0.00,0.00,0.00,779.00,0.00,378560.00," 1,842 "," 443,859 ",,
11-23Tuticorin,Tuticorin,Nov/23,162.00,896.00,0.00,10514.00,0.00,0.00,,586.00,0.00,411376.00," 2,053 "," 505,774 ",,
12-23Tuticorin,Tuticorin,Dec/23,114.00,651.00,0.00,5255.00,0.00,0.00,0.00,726.00,0.00,349688.00," 1,600 "," 429,078 ",,
01-24Tuticorin,Tuticorin,Jan/24,138.00,803.00,0.00,2396.00,0.00,0.00,0.00,639.00,0.00,338688.00," 1,517 "," 312,602 ",,
02-24Tuticorin,Tuticorin,Feb/24,192.00,807.00,0.00,2451.00,0.00,0.00,0.00,557.00,0.00,457616.00," 1,837 "," 471,579 ",,
03-24Tuticorin,Tuticorin,Mar/24,171.06,896.00,0.00,1032.00,0.00,0.00,0.00,1378.00,0.00,427056.00," 1,712 "," 450,940 ",,
04-24Tuticorin,Tuticorin,Apr/24,109.54,794.00,0.00,716.00,0.00,0.00,0.00,480.00,0.00,465776.00," 1,991 "," 482,850 ",,
05-24Tuticorin,Tuticorin,May/24,114.51,921.00,0.00,5318.00,0.00,0.00,0.00,981.00,0.00,474640.00," 2,096 "," 568,434 ",,
06-24Tuticorin,Tuticorin,Jun/24,106.39,960.00,0.00,5089.00,0.00,0.00,0.00,702.00,0.00,430624.00," 1,756 "," 452,486 ",,
07-24Tuticorin,Tuticorin,Jul/24,95.86,1042.00,0.00,4609.00,0.00,0.00,0.00,358.00,0.00," 388,816 "," 1,560 "," 388,957 ",,
08-24Tuticorin,Tuticorin,Aug/24,116.70,1136.00,0.00,3391.00,0.00,0.00,0.00,180.00,0.00,460528.00," 1,928 "," 502,259 ",,
09-24Tuticorin,Tuticorin,Sep/24,122.62,931.00,0.00,6303.00,2.50,0.00,0.00,93.00,0.00,432624.00," 2,185 "," 569,823 ",,
10-24Tuticorin,Tuticorin,Oct/24,128.58,1023.00,0.00,6244.00,0.00,0.00,0.00,159.00,0.00,403920.00," 1,964 "," 559,053 ",,
11-24Tuticorin,Tuticorin,Nov/24,130.25,1065.00,0.00,5036.00,0.00,0.00,0.00,93.00,0.00,385952.00," 1,998 "," 506,529 ",,
12-24Tuticorin,Tuticorin,Dec/24,70.66,962.66,0.00,2815.00,0.00,16.00,0.00,186.00,0.00,236224.00, 859 ," 281,356 ",,
01-25Tuticorin,Tuticorin,Jan/25,89.06,821.00,0.00,1653.00,0.00,0.00,0.00,122.00,0.00,295248.00," 1,095 "," 255,088 ",,
02-25Tuticorin,Tuticorin,Feb/25,114.29,903.45,0.00,1312.00,0.00,0.00,0.00,63.00,0.00,398736.00," 1,806 "," 461,520 ",,
03-25Tuticorin,Tuticorin,Mar/25,123.93,977.00,0.00,5287.00,0.00,0.00,0.00,62.50,0.00,456192.00," 2,050 "," 569,277 ",,

04-25Tuticorin,Tuticorin,Apr/25,105.27,870.00,0.00,7019.00,0.00,0.00,7.11,62.50,0.00,387888.00," 1,799 "," 479,437 ",,
05-25Tuticorin,Tuticorin,May/25,85.51,831.00,0.00,5786.00,0.00,0.00,0.00,166.00,0.00,310416.00," 1,401 "," 374,332 ",,
06-25Tuticorin,Tuticorin,Jun/25,103.02,714.00,0.00,4883.00,0.00,0.00,0.00,195.00,0.00,422384.00," 2,161 "," 550,596 ",,
07-25Tuticorin,Tuticorin,Jul/25,127.07,882.04,0.00,3811.00,0.00,0.00,0.00,209.00,0.00,493760.00," 2,252 "," 549,902 ",,
08-25Tuticorin,Tuticorin,Aug/25,129.35,698.00,0.00,2644.00,0.00,0.00,0.00,180.00,0.00,470480.00," 2,152 "," 541,712 ",,
09-25Tuticorin,Tuticorin,Sep/25,122.23,690.50,0.00,4600.00,0.00,0.00,0.00,416.00,0.00,495312.00," 2,351 "," 647,666 ",,
10-25Tuticorin,Tuticorin,Oct/25,113.27,587.80,0.00,5199.00,0.00,0.00,0.00,370.00,0.00,402480.00," 2,002 "," 486,692 ",,
11-25Tuticorin,Tuticorin,Nov/25,130.61,690.50,0.00,3093.00,0.00,0.00,0.00,370.00,0.00,460519.00," 2,051 "," 501,440 ",,
12-25Tuticorin,Tuticorin,Dec/25,120.10,740.45,0.00,3378.00,0.00,0.00,0.00,504.50,0.00,441728.00," 2,033 "," 608,197 ",,
01-26Tuticorin,Tuticorin,Jan/26,115.39,538.00,0.00,2471.00,0.00,0.00,0.00,308.00,0.00,386352.00," 2,059 "," 499,344 ",,
02-26Tuticorin,Tuticorin,Feb/26,119.94,870.61,0.00,4170.00,0.00,0.00,0.00,364.00,0.00,415808.00," 2,075 "," 558,679 ",,
03-26Tuticorin,Tuticorin,Mar/26,132.37,930.74,0.00,1051.00,0.00,0.00,0.00,469.00,0.00,489104.00," 2,400 "," 663,177 ",,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,

